month,lat,top,bottom
1,14.5,125.0,1100.0
1,16.5,75.0,1150.0
1,18.5,90.0,1150.0
1,20.5,85.0,1150.0
1,22.5,125.0,1150.0
1,24.5,175.0,1150.0
2,14.5,125.0,1100.0
2,16.5,85.0,1100.0
2,18.5,65.0,1100.0
2,20.5,90.0,1100.0
2,22.5,150.0,1150.0
2,24.5,200.0,1200.0
3,14.5,125.0,1150.0
3,16.5,85.0,1150.0
3,18.5,65.0,1000.0
3,20.5,95.0,1000.0
3,22.5,100.0,1050.0
3,24.5,200.0,1100.0
4,14.5,125.0,1100.0
4,16.5,80.0,1150.0
4,18.5,75.0,1100.0
4,20.5,100.0,1100.0
4,22.5,100.0,1150.0
4,24.5,175.0,1250.0
5,14.5,125.0,1100.0
5,16.5,90.0,1150.0
5,18.5,75.0,1100.0
5,20.5,75.0,1100.0
5,22.5,75.0,1250.0
5,24.5,150.0,1250.0
6,14.5,100.0,1100.0
6,16.5,90.0,1150.0
6,18.5,75.0,1050.0
6,20.5,55.0,1050.0
6,22.5,80.0,1250.0
6,24.5,200.0,1250.0
7,14.5,95.0,1100.0
7,16.5,80.0,1100.0
7,18.5,85.0,1150.0
7,20.5,100.0,1150.0
7,22.5,90.0,1200.0
7,24.5,250.0,1200.0
8,14.5,95.0,1100.0
8,16.5,90.0,1100.0
8,18.5,95.0,1100.0
8,20.5,95.0,1100.0
8,22.5,85.0,1200.0
8,24.5,250.0,1200.0
9,14.5,90.0,1150.0
9,16.5,85.0,1150.0
9,18.5,125.0,1150.0
9,20.5,150.0,1150.0
9,22.5,150.0,1200.0
9,24.5,275.0,1200.0
10,14.5,90.0,1150.0
10,16.5,85.0,1200.0
10,18.5,90.0,1150.0
10,20.5,85.0,1100.0
10,22.5,125.0,1100.0
10,24.5,200.0,1100.0
11,14.5,90.0,1100.0
11,16.5,90.0,1150.0
11,18.5,125.0,1150.0
11,20.5,150.0,1150.0
11,22.5,175.0,1150.0
11,24.5,175.0,1150.0
12,14.5,85.0,1050.0
12,16.5,95.0,1100.0
12,18.5,125.0,1100.0
12,20.5,125.0,1150.0
12,22.5,150.0,1150.0
12,24.5,225.0,1150.0
